1	Tắm bé	Hỗ trợ tắm bé, vệ sinh cơ bản và hướng dẫn gia đình chăm bé an toàn.	cham-be-so-sinh	320000.00	45	single	\N	\N	\N	inactive	2026-05-24 07:46:00.588468+00	\N	\N
21	Tư vấn lợi sữa	Tư vấn chế độ dinh dưỡng và các phương pháp tự nhiên giúp mẹ kích thích nguồn sữa dồi dào, đảm bảo chất lượng sữa cho bé bú.	tu-van-tai-nha	400000.00	45	single	\N	\N	\N	active	2026-06-12 01:51:26.87209+00	Consult on nutrition and natural methods to stimulate abundant milk supply, ensuring quality breast milk for the baby.	Lactation & Milk Supply Consultation
22	Hỗ trợ tắc tia sữa	Hỗ trợ mẹ xử lý tình trạng tắc tia sữa bằng kỹ thuật massage nhẹ nhàng, chườm ấm và hướng dẫn cho bú đúng cách để thông tia sữa.	tu-van-tai-nha	500000.00	60	single	\N	\N	\N	active	2026-06-12 01:51:26.932465+00	Help mother treat blocked ducts with gentle massage, warm compress and proper breastfeeding guidance to clear the ducts.	Blocked Milk Duct Relief Support
23	Hỗ trợ bé bú kém	Đánh giá nguyên nhân bé bú kém — ngậm bắt vú sai, lưỡi ngắn, trào ngược — và hướng dẫn mẹ kỹ thuật cho bú phù hợp.	cham-be-so-sinh	400000.00	60	single	\N	\N	\N	active	2026-06-12 01:51:26.977444+00	Assess causes of poor feeding — incorrect latch, tongue-tie, reflux — and guide mother with appropriate feeding techniques.	Poor Feeding Support for Newborns
24	Chăm sóc vết mổ sau sinh	Kiểm tra, vệ sinh và theo dõi vết mổ lấy thai — phát hiện sớm dấu hiệu nhiễm trùng, hướng dẫn mẹ chăm sóc vết mổ tại nhà.	cham-me-sau-sinh	450000.00	45	single	\N	\N	\N	active	2026-06-12 01:51:27.023244+00	Inspect, clean and monitor cesarean incision — early detection of infection signs, guide mother on home wound care.	C-Section Wound Care & Monitoring
25	Theo dõi sản dịch sau sinh	Kiểm tra số lượng, màu sắc, mùi sản dịch — đánh giá tiến trình hồi phục tử cung và phát hiện bất thường sau sinh.	cham-me-sau-sinh	350000.00	30	single	\N	\N	\N	active	2026-06-12 01:51:27.067411+00	Check lochia amount, color, odor — assess uterine recovery progress and detect postpartum abnormalities.	Postpartum Lochia Monitoring
2	Theo dõi sức khỏe mẹ	Theo dõi hồi phục, dấu hiệu bất thường và nhu cầu nghỉ ngơi của mẹ sau sinh.	cham-me-sau-sinh	500000.00	60	single	\N	\N	\N	inactive	2026-05-24 07:46:00.783758+00	\N	\N
3	Theo dõi sức khỏe bé	Theo dõi nhịp sinh hoạt, thân nhiệt, bú ngủ và các dấu hiệu cần lưu ý của bé.	cham-be-so-sinh	450000.00	60	single	\N	\N	\N	inactive	2026-05-24 07:46:00.786148+00	\N	\N
4	Hỗ trợ cho bú	Tư vấn tư thế bú, lịch bú và hỗ trợ các vấn đề thường gặp khi cho bé bú.	tu-van-tai-nha	600000.00	90	single	\N	\N	\N	inactive	2026-05-24 07:46:00.788272+00	\N	\N
5	Massage sau sinh	Liệu trình massage hỗ trợ mẹ thư giãn và phục hồi sau sinh.	phuc-hoi-suc-khoe	700000.00	90	single	\N	\N	\N	inactive	2026-05-24 07:46:00.790353+00	\N	\N
6	Tư vấn dinh dưỡng	Gợi ý chế độ ăn phù hợp cho mẹ sau sinh và trong giai đoạn cho con bú.	tu-van-tai-nha	550000.00	60	single	\N	\N	\N	inactive	2026-05-24 07:46:00.792264+00	\N	\N
7	Chăm bé ban đêm	Điều dưỡng hỗ trợ chăm bé vào ban đêm để mẹ có thêm thời gian nghỉ ngơi.	cham-be-so-sinh	900000.00	480	single	\N	\N	\N	inactive	2026-05-24 07:46:00.794835+00	\N	\N
8	Hỗ trợ việc nhà	Hỗ trợ các việc nhẹ trong không gian chăm sóc mẹ và bé để gia đình giảm tải.	ho-tro-gia-dinh	400000.00	120	single	\N	\N	\N	inactive	2026-05-24 07:46:00.796906+00	\N	\N
9	Hỗ trợ tâm lý	Lắng nghe, đồng hành và hỗ trợ mẹ giảm căng thẳng trong giai đoạn đầu sau sinh.	ho-tro-tinh-than	500000.00	60	single	\N	\N	\N	inactive	2026-05-24 07:46:00.799381+00	\N	\N
10	Tư vấn khẩn	Tư vấn nhanh khi gia đình cần định hướng xử lý tình huống chăm sóc mẹ và bé.	tu-van-tai-nha	300000.00	30	single	\N	\N	\N	inactive	2026-05-24 07:46:00.801869+00	\N	\N
11	Gói Mini Tư Vấn Nhanh	Buổi tư vấn ngắn 15 phút để gia đình hỏi nhanh về các lưu ý cơ bản khi chăm mẹ và bé tại nhà.	tu-van-tai-nha	29000.00	15	single	\N	\N	\N	inactive	2026-05-24 07:46:00.803909+00	\N	\N
